crop,Year,yield_kg_ha,pesticide_tonnes,growing_season_avg_temp_c,growing_season_total_precip_mm
Grapes,1990,5677.3,9357.0,19.72,170.1596
Grapes,1991,5036.1,9357.0,19.638571428571428,198.16440000000003
Grapes,1992,4038.8,6117.0,19.32857142857143,248.3904
Grapes,1993,2656.6,8985.0,18.005714285714284,377.1515999999999
Grapes,1994,3633.3,9580.0,18.298571428571428,203.94799999999998
Grapes,1995,4123.7,11815.0,19.912857142857145,137.5888
Grapes,1996,5577.2,12457.0,18.024285714285714,331.49160000000006
Grapes,1997,3660.1,12750.0,19.28142857142857,287.0492
Grapes,1998,2283.3,14389.0,18.96857142857143,305.6176
Grapes,1999,4873.3,15411.0,19.360000000000003,231.95280000000002
Grapes,2000,4192.7,15470.0,18.685714285714287,328.44759999999997
Grapes,2001,4832.1,15503.0,18.524285714285714,273.6556
Grapes,2002,4202.2,17452.0,18.568571428571428,287.658
Grapes,2003,4659.6,17030.0,18.87142857142857,390.8496
Grapes,2004,4819.2,16942.0,18.888571428571428,153.41760000000002
Grapes,2005,4758.7,16353.0,20.134285714285713,110.1928
Grapes,2006,5059.2,15702.0,20.15857142857143,267.872
Grapes,2007,4157.4,16682.0,18.48857142857143,234.08360000000005
Grapes,2008,3998.5,17080.0,18.534285714285716,257.5224
Grapes,2009,4330.5,13985.0,19.518571428571427,129.06560000000002
Grapes,2010,5260.5,13774.0,19.307142857142857,247.7816
Grapes,2011,4159.5,14024.0,19.2,257.5224
Grapes,2012,4689.5,12442.0,18.775714285714287,211.2536
Grapes,2013,4611.3,10123.0,18.70285714285714,356.75680000000006
Grapes,2014,4573.1,12888.0,18.818571428571428,257.5224
Grapes,2015,5222.7,10003.0,19.69857142857143,129.37
Grapes,2016,4422.9,9772.0,18.75714285714286,351.88640000000004
Grapes,2017,4855.9,8103.0,19.78714285714286,158.59240000000003
Grapes,2018,4486.4,8057.0,18.860000000000003,485.51800000000003
Grapes,2019,4923.7,9866.0,19.06714285714286,216.12400000000002
Grapes,2020,4857.9,9706.0,19.37,409.1136
Grapes,2021,5567.0,9583.0,18.517142857142858,277.3084
Grapes,2022,5139.7,9040.0,20.045714285714286,281.8744
Grapes,2023,5686.5,7857.0,19.97,233.1704
Potatoes,1990,11159.9,9357.0,19.72,170.1596
Potatoes,1991,12651.3,9357.0,19.638571428571428,198.16440000000003
Potatoes,1992,14326.0,6117.0,19.32857142857143,248.3904
Potatoes,1993,13942.0,8985.0,18.005714285714284,377.1515999999999
Potatoes,1994,14495.0,9580.0,18.298571428571428,203.94799999999998
Potatoes,1995,14846.2,11815.0,19.912857142857145,137.5888
Potatoes,1996,14580.7,12457.0,18.024285714285714,331.49160000000006
Potatoes,1997,12394.9,12750.0,19.28142857142857,287.0492
Potatoes,1998,13755.1,14389.0,18.96857142857143,305.6176
Potatoes,1999,15648.2,15411.0,19.360000000000003,231.95280000000002
Potatoes,2000,13819.6,15470.0,18.685714285714287,328.44759999999997
Potatoes,2001,14972.5,15503.0,18.524285714285714,273.6556
Potatoes,2002,16164.2,17452.0,18.568571428571428,287.658
Potatoes,2003,16081.0,17030.0,18.87142857142857,390.8496
Potatoes,2004,16993.5,16942.0,18.888571428571428,153.41760000000002
Potatoes,2005,14728.2,16353.0,20.134285714285713,110.1928
Potatoes,2006,16105.9,15702.0,20.15857142857143,267.872
Potatoes,2007,16768.5,16682.0,18.48857142857143,234.08360000000005
Potatoes,2008,15751.9,17080.0,18.534285714285716,257.5224
Potatoes,2009,16443.1,13985.0,19.518571428571427,129.06560000000002
Potatoes,2010,15034.1,13774.0,19.307142857142857,247.7816
Potatoes,2011,14708.8,14024.0,19.2,257.5224
Potatoes,2012,17789.0,12442.0,18.775714285714287,211.2536
Potatoes,2013,18224.3,10123.0,18.70285714285714,356.75680000000006
Potatoes,2014,19838.0,12888.0,18.818571428571428,257.5224
Potatoes,2015,19770.5,10003.0,19.69857142857143,129.37
Potatoes,2016,19361.3,9772.0,18.75714285714286,351.88640000000004
Potatoes,2017,21699.2,8103.0,19.78714285714286,158.59240000000003
Potatoes,2018,20754.3,8057.0,18.860000000000003,485.51800000000003
Potatoes,2019,23584.8,9866.0,19.06714285714286,216.12400000000002
Potatoes,2020,23367.9,9706.0,19.37,409.1136
Potatoes,2021,24602.4,9583.0,18.517142857142858,277.3084
Potatoes,2022,22042.0,9040.0,20.045714285714286,281.8744
Potatoes,2023,22450.3,7857.0,19.97,233.1704
Wheat,1990,1426.9,9357.0,19.72,170.1596
Wheat,1991,2098.2,9357.0,19.638571428571428,198.16440000000003
Wheat,1992,1291.4,6117.0,19.32857142857143,248.3904
Wheat,1993,1686.1,8985.0,18.005714285714284,377.1515999999999
Wheat,1994,1966.7,9580.0,18.298571428571428,203.94799999999998
Wheat,1995,1387.2,11815.0,19.912857142857145,137.5888
Wheat,1996,1713.9,12457.0,18.024285714285714,331.49160000000006
Wheat,1997,1190.5,12750.0,19.28142857142857,287.0492
Wheat,1998,1015.1,14389.0,18.96857142857143,305.6176
Wheat,1999,1598.6,15411.0,19.360000000000003,231.95280000000002
Wheat,2000,1567.8,15470.0,18.685714285714287,328.44759999999997
Wheat,2001,837.1,15503.0,18.524285714285714,273.6556
Wheat,2002,1790.4,17452.0,18.568571428571428,287.658
Wheat,2003,858.1,17030.0,18.87142857142857,390.8496
Wheat,2004,1562.5,16942.0,18.888571428571428,153.41760000000002
Wheat,2005,664.4,16353.0,20.134285714285713,110.1928
Wheat,2006,2384.7,15702.0,20.15857142857143,267.872
Wheat,2007,1863.0,16682.0,18.48857142857143,234.08360000000005
Wheat,2008,2302.8,17080.0,18.534285714285716,257.5224
Wheat,2009,1700.8,13985.0,19.518571428571427,129.06560000000002
Wheat,2010,1430.5,13774.0,19.307142857142857,247.7816
Wheat,2011,1200.2,14024.0,19.2,257.5224
Wheat,2012,1076.6,12442.0,18.775714285714287,211.2536
Wheat,2013,1763.5,10123.0,18.70285714285714,356.75680000000006
Wheat,2014,2065.7,12888.0,18.818571428571428,257.5224
Wheat,2015,2023.2,10003.0,19.69857142857143,129.37
Wheat,2016,2356.5,9772.0,18.75714285714286,351.88640000000004
Wheat,2017,2054.2,8103.0,19.78714285714286,158.59240000000003
Wheat,2018,2593.8,8057.0,18.860000000000003,485.51800000000003
Wheat,2019,2701.4,9866.0,19.06714285714286,216.12400000000002
Wheat,2020,2770.4,9706.0,19.37,409.1136
Wheat,2021,2422.9,9583.0,18.517142857142858,277.3084
Wheat,2022,1994.2,9040.0,20.045714285714286,281.8744
Wheat,2023,1401.4,7857.0,19.97,233.1704
